v_ego,v_followed,v_oncoming,dist_flw_m,dist_oncom_m,engine_power_kw,weight_kg,road_friction,rel_v_oncoming,rel_v_followed,target
55.07,106.3,86.75,23.84,297.24,133.04,1376.69,0.82,141.82,-51.23,0
115.44,67.21,54.16,15.02,171.78,304.42,2632.96,0.95,169.6,48.230000000000004,0
56.68,43.73,94.14,22.75,531.75,173.7,2064.93,0.5,150.82,12.950000000000003,0
85.68,51.3,99.72,18.69,160.5,323.87,2664.87,0.5,185.4,34.38000000000001,0
99.67,91.12,64.11,45.55,896.35,247.68,1761.33,0.41,163.78,8.549999999999997,0
67.54,73.69,106.23,11.15,726.33,287.65,1344.7,0.71,173.77,-6.1499999999999915,0
65.62,68.02,71.17,48.71,804.49,142.57,2753.03,0.7,136.79000000000002,-2.3999999999999915,0
105.07,46.68,84.36,22.99,1422.83,344.5,2762.6,0.93,189.43,58.38999999999999,1
105.68,102.33,120.52,22.78,1457.35,87.77,2968.64,0.72,226.2,3.3500000000000085,0
102.63,49.47,79.46,46.46,1154.02,266.77,2338.58,0.47,182.08999999999997,53.16,1
54.68,63.93,79.08,34.89,311.03,275.54,1456.34,0.46,133.76,-9.25,0
98.24,82.51,65.93,17.71,1494.2,328.97,2852.52,0.92,164.17000000000002,15.72999999999999,1
94.84,105.06,66.58,34.87,1238.68,200.75,2430.95,0.39,161.42000000000002,-10.219999999999999,0
106.45,79.98,97.6,49.6,612.42,289.32,2864.03,0.59,204.05,26.47,0
106.56,71.43,101.22,11.34,819.55,190.96,2710.47,0.77,207.78,35.129999999999995,1
86.36,59.39,99.81,34.57,407.65,243.87,2799.21,0.27,186.17000000000002,26.97,0
95.44,102.7,56.28,19.61,856.09,292.81,1691.12,0.55,151.72,-7.260000000000005,0
91.02,105.02,60.17,43.88,248.83,183.06,1678.06,0.42,151.19,-14.0,0
62.98,79.15,112.27,41.03,140.32,286.79,1827.53,0.87,175.25,-16.17000000000001,0
85.12,90.59,78.94,20.59,960.27,348.18,1917.75,0.64,164.06,-5.469999999999999,0
55.8,70.94,56.34,11.68,1442.18,290.1,2799.49,0.64,112.14,-15.14,1
112.45,87.93,57.04,41.69,1182.69,255.53,1911.12,0.66,169.49,24.519999999999996,1
68.56,105.42,103.74,26.39,315.24,267.11,2522.15,0.67,172.3,-36.86,0
70.75,64.35,95.21,45.84,1351.68,113.4,1454.92,0.61,165.95999999999998,6.400000000000006,0
79.14,60.0,92.95,29.74,1353.73,263.61,1590.89,0.85,172.09,19.14,1
53.59,68.77,96.74,41.14,1164.29,193.05,1884.82,0.75,150.32999999999998,-15.179999999999993,0
111.97,67.53,108.21,15.14,656.01,108.19,2167.69,0.8,220.18,44.44,1
61.26,109.41,54.31,49.4,698.4,307.4,2926.6,0.38,115.57,-48.15,0
71.87,93.15,116.82,13.78,101.69,270.2,1624.65,0.88,188.69,-21.28,0
63.86,84.27,102.08,43.74,577.68,149.98,2677.22,0.64,165.94,-20.409999999999997,0
60.62,45.55,56.24,10.29,259.95,128.84,2994.15,0.87,116.86,15.07,0
77.96,66.58,57.92,47.81,1175.71,304.0,2681.64,0.8,135.88,11.379999999999995,1
61.44,80.67,107.72,42.92,1480.36,244.14,2899.27,0.94,169.16,-19.230000000000004,0
99.2,66.39,82.95,48.19,1463.25,131.1,2895.32,0.68,182.15,32.81,1
125.26,74.01,105.18,14.44,1345.6,221.71,1368.41,0.91,230.44,51.25,1
74.1,80.83,78.76,38.11,824.84,231.28,1687.73,0.55,152.86,-6.730000000000004,0
99.33,107.85,114.99,10.8,777.15,87.63,2341.52,0.22,214.32,-8.519999999999996,0
118.18,68.75,97.23,35.11,1352.6,284.33,2607.27,0.5,215.41000000000003,49.43000000000001,1
73.14,71.13,60.43,43.25,632.81,177.08,2875.29,0.84,133.57,2.010000000000005,0
69.35,44.71,60.17,12.09,1474.16,286.28,2696.64,0.51,129.51999999999998,24.639999999999993,1
117.94,91.27,62.11,15.1,559.69,186.8,2492.98,0.9,180.05,26.67,1
124.71,52.4,107.13,32.37,1156.56,169.87,2458.32,0.61,231.83999999999997,72.31,1
58.86,108.81,82.59,25.59,1343.66,274.09,1965.3,0.58,141.45,-49.95,1
