v_ego,v_followed,v_oncoming,dist_flw_m,dist_oncom_m,engine_power_kw,weight_kg,road_friction,target
68.88,46.17,50.88,20.05,1140.9,346.03,2064.88,0.6,1
61.14,109.92,61.97,31.1,924.57,291.93,1315.3,0.88,0
55.01,101.47,74.33,39.25,995.49,207.95,1983.14,0.74,0
64.49,55.92,121.54,46.87,509.21,190.39,1748.36,0.91,0
97.53,98.4,92.74,10.26,506.28,219.42,1430.69,0.53,0
93.54,66.82,126.34,43.42,1189.71,215.39,1907.07,0.61,1
55.83,90.44,122.18,13.54,1097.93,307.98,2550.0,0.66,0
100.58,42.82,99.29,31.17,1424.03,262.07,2203.3,0.79,1
110.98,55.96,116.91,33.9,691.92,170.67,2885.81,0.48,1
95.76,70.12,97.16,31.9,1210.18,251.17,1317.43,0.46,1
62.49,58.08,74.33,46.31,554.98,126.97,1769.32,0.57,0
60.64,104.81,74.96,45.4,917.01,116.45,2472.33,0.82,0
64.32,70.27,93.73,24.76,1115.2,125.18,2553.25,0.3,0
116.2,72.54,109.08,30.82,1077.58,338.46,2990.03,0.24,1
105.7,56.5,125.62,31.92,367.47,301.06,2027.0,0.75,0
104.2,108.63,73.37,29.92,1035.99,251.08,2630.99,0.47,0
78.65,45.27,82.76,36.83,1186.91,132.92,1942.97,0.52,1
78.19,84.05,93.78,33.56,784.45,159.01,2007.9,0.84,0
91.16,103.63,58.58,35.69,1496.51,335.55,2868.95,0.24,0
78.3,105.53,124.81,40.22,129.17,243.26,2263.01,0.78,0
92.42,96.78,73.24,13.17,550.43,92.95,2152.01,0.73,0
53.68,107.66,63.31,31.01,1221.89,208.76,2391.91,0.37,1
105.49,94.1,116.93,23.04,954.75,294.2,1404.88,0.51,0
129.4,40.06,102.42,38.4,165.67,235.03,2109.17,0.66,0
121.62,80.77,109.4,28.59,1058.43,215.33,2381.05,0.39,1
90.86,99.64,104.55,23.7,1035.71,102.02,1610.76,0.28,0
50.56,64.03,98.06,44.32,498.56,152.95,2698.9,0.7,0
114.48,79.14,90.74,49.67,1091.59,330.13,1857.35,0.88,1
85.51,107.39,93.01,36.83,1414.95,212.34,1942.34,0.94,0
74.76,56.3,109.13,24.57,190.32,339.53,1334.33,1.0,0
57.52,102.38,116.31,27.97,417.59,151.8,2053.98,0.96,0
93.33,87.14,83.62,44.46,153.63,191.48,2081.65,0.7,0
101.94,56.92,92.02,42.7,279.75,124.05,1576.78,0.59,0
54.38,105.01,66.14,12.59,754.97,282.86,2461.09,0.5,0
96.0,75.71,108.71,40.08,673.26,98.21,1522.14,0.88,0
78.1,68.65,102.88,38.56,862.77,104.35,2664.61,0.86,0
97.16,91.96,127.56,26.71,1110.36,138.88,1376.23,0.27,0
100.73,100.18,118.87,36.7,418.47,287.8,1730.41,1.0,0
108.47,42.8,109.93,44.15,828.36,298.7,1389.37,0.49,1
51.86,63.94,91.05,38.81,1298.81,313.92,2642.15,0.58,0
113.78,41.97,67.11,49.19,1279.68,317.21,2084.19,0.93,1
105.03,95.16,57.25,22.49,811.46,232.26,2720.51,0.98,0
107.52,103.54,61.96,31.79,1102.34,93.1,1696.02,0.88,0
89.41,44.31,103.77,22.59,825.26,177.5,2174.84,0.66,1
96.75,88.5,53.96,38.89,1272.01,133.84,2103.32,0.42,0
95.73,75.04,86.47,47.2,812.61,255.24,2890.99,0.57,0
89.08,85.76,84.32,34.31,723.06,242.36,1970.19,0.61,0
79.19,68.18,91.42,30.12,1036.32,222.82,2705.77,0.21,0
63.51,54.04,93.7,15.85,258.22,335.19,1467.2,0.5,0
96.22,54.82,60.79,11.02,1440.9,221.3,1378.98,0.81,1
126.79,95.49,105.49,16.65,1109.8,107.05,1523.44,0.37,1
93.66,81.17,90.26,30.88,223.21,92.0,1605.98,0.27,0
91.64,99.26,102.6,26.37,252.63,273.39,2660.66,0.76,0
70.25,101.9,82.11,14.44,818.75,261.67,2467.39,0.92,0
81.7,74.51,113.15,28.88,1029.11,76.47,2970.44,0.84,0
88.15,56.74,128.91,31.64,1200.16,320.8,2647.92,0.7,1
96.65,102.96,91.75,21.83,784.45,188.08,2651.56,0.78,0
59.83,87.02,114.15,30.05,928.8,318.34,2612.33,0.87,0
96.5,68.38,88.23,38.3,1028.64,222.5,1631.05,0.9,1
74.5,72.17,106.81,33.13,1273.98,235.59,2264.95,0.99,0
54.83,42.05,125.77,33.78,582.87,307.33,1414.96,0.59,0
57.6,52.05,119.63,25.34,1205.49,291.18,2129.93,0.53,0
118.46,59.92,57.25,30.23,1199.37,110.98,1585.73,0.48,1
53.17,78.46,59.1,35.16,926.61,107.48,1650.4,0.64,0
77.67,44.31,78.81,49.27,676.33,181.45,1461.06,0.61,1
95.56,70.02,113.33,25.69,679.69,129.48,1503.61,0.74,1
104.2,97.6,129.67,47.53,961.13,115.43,1402.33,0.67,0
70.23,85.82,97.12,29.7,364.84,306.26,2709.07,0.41,0
53.85,51.53,77.63,48.33,1107.1,107.2,2186.54,0.45,0
125.42,46.13,70.69,36.32,1134.22,289.56,2559.03,0.84,1
78.89,61.08,81.07,39.05,959.13,210.0,2684.16,0.28,1
121.0,50.85,117.39,38.65,988.16,181.16,2168.41,0.71,1
109.11,90.16,110.97,48.71,1107.92,259.37,2187.57,0.6,0
53.35,104.73,82.17,45.53,1114.41,273.66,1765.57,0.26,0
63.67,104.04,69.79,10.15,769.43,118.08,2931.61,0.47,0
105.38,76.29,101.32,28.91,1425.92,79.04,2356.09,0.85,1
111.24,106.28,58.04,12.82,1028.19,256.81,2459.66,0.78,0
102.63,58.76,76.91,37.89,905.12,171.14,2189.3,0.28,1
120.76,62.97,70.61,31.23,971.92,152.7,2359.73,0.82,1
55.52,40.98,126.7,41.51,265.28,171.13,1924.04,0.44,0
50.97,61.3,108.94,17.73,1151.49,171.0,1963.93,0.45,0
106.09,42.17,68.97,41.87,249.15,125.39,2610.34,0.69,0
51.06,57.63,90.1,45.89,621.48,311.59,1801.3,0.79,0
68.35,71.66,82.91,12.84,762.44,259.06,2476.31,0.89,0
80.84,54.75,88.67,26.25,1115.31,307.85,2323.31,0.56,1
69.77,83.27,98.23,45.35,289.1,122.12,1560.31,0.87,0
91.01,75.1,58.46,43.3,337.71,302.19,2525.51,0.54,0
91.78,49.41,128.26,41.42,319.34,145.8,2973.17,0.62,0
68.78,52.29,87.77,10.98,821.9,177.86,1993.61,0.31,1
125.98,58.07,107.04,29.15,388.59,87.62,2361.11,0.28,0
65.25,99.82,95.98,18.7,297.84,247.93,2018.72,0.87,0
121.41,83.61,82.94,15.22,1409.79,111.11,2631.26,0.21,1
58.83,40.48,57.46,45.09,936.56,188.29,1701.02,0.76,1
