v_ego,v_followed,v_oncoming,dist_flw_m,dist_oncom_m,engine_power_kw,weight_kg,road_friction,driver_age,years_driving,km_driven,rel_v_oncoming,rel_v_followed,target
58.33,29.7,31.32,32.62,1512.65,296.45,2064.88,0.56,20.82,15.45,266.82,89.65,28.63,1
46.7,129.88,47.96,57.48,1219.05,248.05,1315.3,0.86,71.7,44.89,275.65,94.66,-83.18,0
37.51,116.59,66.5,75.8,1315.31,172.93,1983.14,0.71,86.61,6.34,92.94,104.01,-79.08,0
51.74,45.02,137.31,92.97,655.36,157.22,1748.36,0.9,62.57,15.12,435.69,189.05,6.72,0
101.3,111.78,94.1,10.58,651.38,183.19,1430.69,0.47,39.8,40.87,128.28,195.4,-10.48,0
95.31,62.14,144.51,85.2,1578.89,179.59,1907.07,0.56,69.19,7.04,177.53,239.82,33.17,1
38.75,99.27,138.26,17.96,1454.33,262.41,2550.0,0.62,37.21,39.12,386.83,177.01,-60.52,1
105.88,24.44,103.93,57.63,1896.9,221.34,2203.3,0.77,83.53,47.19,120.06,209.81,81.44,1
121.48,45.09,130.36,63.77,903.33,139.58,2885.81,0.41,31.98,4.29,404.98,251.84,76.39,1
98.65,67.33,100.74,59.26,1606.67,211.59,1317.43,0.39,57.24,22.35,118.53,199.39,31.32,1
48.74,48.41,66.49,91.69,717.48,100.49,1769.32,0.52,46.16,25.12,201.86,115.23,0.33,0
45.96,121.84,67.44,89.65,1208.8,91.08,2472.33,0.8,81.4,26.11,273.18,113.4,-75.88,0
51.48,67.56,95.59,43.21,1477.76,98.89,2553.25,0.21,25.34,37.59,285.15,147.07,-16.08,0
129.3,71.13,118.63,56.84,1426.71,289.68,2990.03,0.15,45.86,25.5,194.19,247.93,58.17,1
113.55,45.93,143.42,59.32,463.0,256.22,2027.0,0.72,71.51,22.6,293.57,256.97,67.62,0
111.29,127.85,65.06,54.82,1370.27,211.51,2630.99,0.41,16.6,39.08,146.81,176.35,-16.56,0
72.98,28.28,79.14,70.37,1575.1,105.81,1942.97,0.46,21.86,3.94,489.74,152.12,44.7,1
72.28,89.21,95.67,63.02,1028.9,129.15,2007.9,0.82,89.02,12.66,29.21,167.95,-16.93,0
91.74,119.99,42.87,67.81,1995.26,287.08,2868.95,0.15,70.25,1.57,291.69,134.61,-28.25,0
72.45,122.97,142.22,78.0,139.59,204.52,2263.01,0.75,77.86,14.74,298.93,214.67,-50.52,0
93.64,109.22,64.86,17.12,711.3,70.06,2152.01,0.69,77.18,32.8,138.23,158.5,-15.58,0
35.52,126.32,49.97,57.27,1622.56,173.66,2391.91,0.29,49.06,28.68,70.69,85.49,-90.8,1
113.24,105.01,130.39,39.34,1260.02,250.09,1404.88,0.45,44.19,10.03,155.06,243.63,8.23,0
149.1,20.1,108.63,73.91,189.12,197.15,2109.17,0.62,30.63,41.85,59.98,257.73,129.0,0
137.42,84.07,119.09,51.82,1400.73,179.54,2381.05,0.31,21.0,22.77,418.85,256.51,53.35,1
91.29,113.73,111.82,40.81,1369.89,78.17,1610.76,0.18,87.85,26.11,276.27,203.11,-22.44,0
30.83,57.76,102.09,87.22,640.9,123.73,2698.9,0.67,87.61,36.72,473.3,132.92,-26.93,0
126.72,81.51,91.11,99.27,1445.73,282.23,1857.35,0.87,56.92,31.8,392.77,217.83,45.21,1
83.27,125.91,94.52,70.38,1884.57,176.86,1942.34,0.93,67.85,48.0,310.77,177.79,-42.64,0
67.14,45.61,118.69,42.79,222.57,290.63,1334.33,1.0,41.26,39.92,418.19,185.83,21.53,0
41.28,118.03,129.47,50.42,531.01,122.7,2053.98,0.96,17.43,46.41,464.37,170.75,-76.75,0
95.0,94.08,80.43,87.53,172.78,158.2,2081.65,0.67,36.15,1.84,351.63,175.43,0.92,0
107.91,46.58,93.03,83.57,343.95,97.88,1576.78,0.54,32.04,11.94,200.54,200.94,61.33,0
36.57,122.16,54.2,15.84,988.88,239.94,2461.09,0.44,50.3,40.46,384.23,90.77,-85.59,1
99.01,76.12,118.06,77.68,877.99,74.76,1522.14,0.86,30.02,19.14,192.53,217.07,22.89,0
72.15,65.02,109.32,74.26,1135.19,80.25,2664.61,0.85,59.34,25.32,439.61,181.47,7.13,0
100.73,101.65,146.34,47.6,1471.2,111.14,1376.23,0.18,58.38,3.28,330.55,247.07,-0.92,0
106.1,114.57,133.3,70.07,532.2,244.36,1730.41,1.0,63.58,33.18,93.11,239.4,-8.47,0
117.7,24.41,119.89,86.84,1088.49,254.11,1389.37,0.43,43.47,14.96,426.74,237.59,93.29,1
32.79,57.63,91.57,74.83,1726.96,267.73,2642.15,0.53,69.02,39.49,419.11,124.36,-24.84,0
125.68,23.09,55.67,98.17,1700.99,270.67,2084.19,0.92,58.49,36.35,268.36,181.35,102.59,1
112.55,106.68,40.88,38.1,1065.55,194.68,2720.51,0.98,18.83,48.28,477.01,153.43,5.87,0
116.29,119.85,47.94,59.04,1460.32,70.19,1696.02,0.87,65.05,33.01,248.1,164.23,-3.56,0
89.11,26.77,110.66,38.33,1084.29,145.69,2174.84,0.62,45.37,6.28,149.76,199.77,62.34,1
100.12,96.22,35.93,75.01,1690.58,106.64,2103.32,0.35,82.63,7.29,486.45,136.05,3.9,0
98.59,75.07,84.71,93.7,1067.11,215.23,2890.99,0.52,60.08,17.47,482.57,183.3,23.52,0
88.62,91.9,81.48,64.7,945.58,203.71,1970.19,0.57,44.13,31.86,281.43,170.1,-3.28,0
73.78,64.29,92.13,55.28,1370.72,186.23,2705.77,0.11,56.48,25.68,204.36,165.91,9.49,0
50.26,42.07,95.55,23.15,314.72,286.75,1467.2,0.44,38.59,26.54,151.63,145.81,8.19,0
99.34,43.29,46.18,12.29,1919.79,184.87,1378.98,0.79,26.28,4.6,312.0,145.52,56.05,1
145.18,107.2,113.24,24.97,1470.44,82.67,1523.44,0.3,81.09,12.18,39.98,258.42,37.98,1
95.48,84.69,90.38,56.99,267.21,69.21,1605.98,0.18,36.29,2.25,168.92,185.86,10.79,0
92.47,113.12,108.9,46.82,307.14,231.47,2660.66,0.73,73.45,9.99,423.96,201.37,-20.65,0
60.37,117.27,78.16,19.99,1075.45,220.99,2467.39,0.91,24.14,18.71,144.47,138.53,-56.9,1
77.55,74.23,124.72,52.48,1360.93,55.32,2970.44,0.82,86.31,16.75,11.05,202.27,3.32,0
87.22,46.31,148.36,58.7,1593.07,273.88,2647.92,0.66,16.14,22.4,159.54,235.58,40.91,1
99.98,118.94,92.62,36.63,1028.9,155.16,2651.56,0.75,37.56,41.17,44.12,192.6,-18.96,0
44.75,93.9,126.23,55.1,1224.81,271.68,2612.33,0.85,68.43,2.48,272.79,170.98,-49.15,0
99.75,64.6,87.35,73.68,1360.3,185.95,1631.05,0.89,82.99,7.68,289.39,187.1,35.15,1
66.75,70.56,115.22,62.03,1693.26,197.66,2264.95,0.99,88.05,39.68,25.06,181.97,-3.81,0
37.24,23.22,143.65,63.5,755.32,261.83,1414.96,0.54,52.5,26.69,11.53,180.89,14.02,0
41.4,38.94,134.45,44.52,1600.31,247.38,2129.93,0.47,23.42,9.08,83.4,175.85,2.46,0
132.68,51.3,40.87,55.52,1592.01,86.19,1585.73,0.41,30.95,14.66,426.31,173.55,81.38,1
34.75,80.44,43.65,66.61,1221.83,83.05,1650.4,0.6,42.61,32.58,272.61,78.4,-45.69,1
71.51,26.78,73.21,98.36,882.16,149.23,1461.06,0.56,75.4,19.62,51.75,144.72,44.73,1
98.34,67.18,124.99,45.29,886.72,102.73,1503.61,0.71,85.02,5.2,9.85,223.33,31.16,1
111.31,110.52,149.5,94.45,1268.68,90.17,1402.33,0.63,30.07,24.94,251.86,260.81,0.79,0
60.34,92.01,100.68,54.32,459.43,260.87,2709.07,0.33,74.62,5.75,480.21,161.02,-31.67,0
35.78,38.12,71.45,96.25,1466.78,82.81,2186.54,0.38,62.36,6.16,5.38,107.23,-2.34,0
143.13,29.63,61.04,69.23,1503.59,245.94,2559.03,0.82,51.67,43.73,376.1,204.17,113.5,1
73.33,53.13,76.6,75.36,1265.96,174.77,2684.16,0.19,38.9,31.94,167.63,149.93,20.2,1
